[00038248.8] STATE    ph=35.7s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.02s work=3ms
[00038766.0] STATE    ph=36.1s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.03s work=3ms
[00039266.4] STATE    ph=36.6s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=28(need~30) present=17ms atraso=-0.01s work=4ms
[00039781.8] STATE    ph=37.1s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.02s work=2ms
[00040282.2] STATE    ph=37.6s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.02s work=2ms
[00040784.2] STATE    ph=38.1s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.02s work=4ms
[00041301.0] STATE    ph=38.6s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.02s work=4ms
[00041818.3] STATE    ph=39.1s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.02s work=3ms
[00042318.8] STATE    ph=39.6s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.02s work=3ms
[00045892.8] SCRUBHW  clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' migrado p/ NVDEC no scrub (decode SW levou 1341ms > 700)
[00045892.8] SCRUB    clip=0 t=245.4s HW 1341ms
[00046429.9] SCRUB    clip=0 t=592.5s HW 528ms
[00046675.8] SCRUB    clip=0 t=850.4s HW 241ms
[00047061.7] SCRUB    clip=0 t=880.1s HW 378ms
[00047555.8] SCRUB    clip=0 t=1086.5s HW 485ms
[00048205.6] SCRUB    clip=0 t=1328.8s HW 636ms
[00048959.0] SCRUB    clip=0 t=1689.9s HW 740ms
[00049627.5] SCRUB    clip=0 t=2177.6s HW 655ms
[00050187.4] SCRUB    clip=0 t=2516.9s HW 551ms
[00050684.4] SCRUB    clip=0 t=2985.8s HW 478ms
[00051442.0] SCRUB    clip=0 t=3189.1s HW 752ms
[00051825.8] SCRUB    clip=0 t=3067.1s HW 371ms
[00052570.5] SCRUB    clip=0 t=2662.2s HW 731ms
[00052926.6] SCRUB    clip=0 t=2230.8s HW 352ms
[00053315.0] SCRUB    clip=0 t=2118.2s HW 374ms
[00053671.2] SCRUB    clip=0 t=1940.0s HW 347ms
[00053978.4] SCRUB    clip=0 t=1816.5s HW 289ms
[00054529.0] SCRUB    clip=0 t=1721.2s HW 538ms
[00055241.8] SCRUB    clip=0 t=1222.5s HW 701ms
[00055588.2] SCRUB    clip=0 t=700.3s HW 329ms
[00055931.9] SCRUB    clip=0 t=540.9s HW 339ms
[00056432.4] SCRUB    clip=0 t=419.0s HW 492ms
[00056867.2] SCRUB    clip=0 t=612.8s HW 426ms
[00057372.2] SCRUB    clip=0 t=823.8s HW 496ms
[00057957.9] SCRUB    clip=0 t=1052.1s HW 581ms
[00058634.4] SCRUB    clip=0 t=1563.3s HW 658ms
[00059018.9] SCRUB    clip=0 t=2313.6s HW 375ms
[00059188.3] RESPAWN  clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' base=2355.8s HW dur=339ms OK (worker)
[00059474.6] HITCH    frame APRESENTADO em 33ms (30fps) — work=1ms (o resto foi vsync/GPU) ph=2355.8s
[00059474.6] STATE    ph=2355.8s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=0(need~30) present=33ms atraso=-0.03s work=1ms
[00059514.6] HITCH    frame APRESENTADO em 33ms (30fps) — work=8ms (o resto foi vsync/GPU) ph=2355.8s
[00059984.4] STATE    ph=2356.3s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=25(need~30) present=17ms atraso=-0.02s work=10ms
[00060495.2] STATE    ph=2356.8s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.02s work=2ms
[00060996.9] STATE    ph=2357.3s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=28(need~30) present=17ms atraso=-0.00s work=3ms
[00061515.9] STATE    ph=2357.8s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=31(need~30) present=17ms atraso=-0.02s work=4ms
[00062038.9] STATE    ph=2358.3s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.02s work=10ms
[00062556.7] STATE    ph=2358.8s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.03s work=10ms
[00063067.4] STATE    ph=2359.3s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.03s work=4ms
[00063569.3] STATE    ph=2359.8s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.03s work=5ms
[00064069.6] STATE    ph=2360.3s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=28(need~30) present=17ms atraso=-0.01s work=5ms
[00064578.0] STATE    ph=2360.8s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.02s work=13ms
[00065085.2] STATE    ph=2361.3s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.01s work=2ms
[00065586.0] STATE    ph=2361.7s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=28(need~30) present=17ms atraso=0.00s work=2ms
[00066097.2] STATE    ph=2362.2s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.03s work=12ms
[00066611.9] STATE    ph=2362.7s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.03s work=9ms
[00067131.0] STATE    ph=2363.2s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.03s work=10ms
[00067641.5] STATE    ph=2363.7s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.01s work=3ms
[00068150.8] STATE    ph=2364.2s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=27(need~30) present=17ms atraso=-0.02s work=10ms
[00068672.0] STATE    ph=2364.7s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.02s work=13ms
[00069187.3] STATE    ph=2365.2s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.03s work=9ms
[00069690.4] STATE    ph=2365.7s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=30(need~30) present=17ms atraso=-0.03s work=11ms
[00070208.3] STATE    ph=2366.2s clip='BALBI IN HOUSE COM CARLINHOS MAIA.mp4' live=true hw=true no_hw=false vfps=29(need~30) present=17ms atraso=-0.03s work=11ms
